goods_no,rank,title,subtitle,author,publisher,publish_date,discount_rate,sale_price,original_price,point,sale_index,review_count,rating
190806231,88,요즘 바이브 코딩 하네스 with 클로드 코드,"AI 에이전트 엔지니어링, 서브에이전트 , 스킬, SDD, 리팩터링, 헤르메스, 워크트리, 코드 리뷰, 데이터베이스, 세션 관리, 메모리, 체크포인트, 워크플로, 코드 보안 프롬프트 X 컨텍스트 X 하네스 구축의 원리와",조성진,골든래빗,2026년 06월,10%,27000,30000,"1,500원",3189,3,10.0
192662784,89,생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼),"ChatGPT, Gemini, NotebookLM",장미희,박문각,2026년 07월,5%,20900,22000,440원,684,16,9.9
188859248,90,알고 나면 무조건 써먹는 실무 엑셀,20년 차 기업 교육 No.1 엑셀 강사 정훈희쌤이 알려주는 엑셀 왕초보 강의,정훈희,한빛미디어,2026년 05월,10%,20700,23000,"1,150원",2148,13,9.7
117373102,91,코딩 자율학습 나도코딩의 파이썬 입문,,나도코딩,길벗,2023년 02월,10%,21600,24000,"1,200원",9207,310,9.8
192277220,92,바이브 엔지니어링,"바이브 코딩을 넘어, AI를 무작정 믿지 않고 제대로 부려먹는 개발자 되는 법",제이 킴,길벗,2026년 06월,10%,21600,24000,"1,200원",828,2,8.0
192630667,93,AI도 모르는 글쓰기: 초안을 완성으로 바꾸는 AI 협업 글쓰기,,정나래,한빛미디어,2026년 06월,10%,19800,22000,"1,100원",1086,23,10.0
193389466,94,현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!),"제미나이, 구글비즈, 일레븐랩스, 캔바, 패들렛, 스노클AI, MS팀즈, 챗GPT, 제미나이젬스, 구글폼즈, 노트북LM, 워드월, 블루킷, 유튜브, 다했니, 브리스크티칭, 띵커벨, 리릭스트레이닝","권수정, 장은정, 이민화, 강미나, 유지민",광문각출판미디어,2026년 07월,0%,19000,19000,0원,480,10,10.0
193084292,95,요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품,"스티치, 피그마, 안드로이드, iOS, Xcode, 플러터, 애드몹, 광고, 앱 심사, 앱스토어, 플레이스토어 판매 등록, 누적 프로젝트 20개의 저자가 알려주는 돈이 되는 모바일 앱 제작 노하우",시몬,골든래빗,2026년 07월,10%,30600,34000,"1,700원",480,0,0.0
192877328,96,슬기로운 교사 생활 캔바 AI 수업 활용법,"프레젠테이션, 동영상, SNS, 템플릿 활용, 학습 자료는 물론 Docs, 시트, Canva AI와 바이브 코딩으로 수업 앱 제작까지 교육용 캔바의 기초를 넘어 캔바 AI 활용법 완전 정복!",미나리쌤,골든래빗,2026년 07월,10%,21420,23800,"1,190원",642,0,0.0
192164452,97,클로드 코워크 시작하기,"나만의 AI 비서, 초특급 업무활용법",조남경,비엘북스,2026년 07월,10%,25200,28000,"1,400원",1296,0,0.0
